Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,09/01/21,0.45,0.25,0.2,0.32,0.57,0.58,0.52,0.83,2.08,3.88,3.3,3.78,1.57,1.32,1.0,0.42,0.0,0.0,0.0,0.0,0.0,44.4,219.18,21.07
Month,Student,Active,08/01/21,4.22,1.67,2.02,1.52,1.67,2.55,1.48,1.83,1.95,1.6,1.57,1.3,1.03,1.33,2.67,3.73,5.65,5.53,3.75,0.0,0.0,75.27,533.47,47.07
Month,Student,Active,07/01/21,4.35,3.15,0.82,1.35,0.28,1.6,0.95,1.23,0.63,1.38,1.22,0.72,0.78,0.58,0.6,1.03,2.0,2.67,0.13,0.0,0.0,52.68,215.97,25.48
Month,Student,Active,06/01/21,1.83,0.78,0.9,0.92,0.52,0.38,0.33,0.98,1.63,1.23,1.48,1.35,0.63,1.27,2.22,3.03,6.53,13.03,18.28,0.0,0.0,67.55,885.2,57.35
Month,Student,Active,05/01/21,2.7,0.72,0.18,0.22,0.23,0.3,0.15,0.18,0.22,0.27,1.37,0.33,0.47,0.52,0.7,1.78,2.15,6.9,10.82,1.38,0.0,64.8,480.95,31.58
Month,Student,Active,04/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
Month,Student,All,09/01/21,3.62,0.37,0.18,0.18,0.33,0.4,0.65,0.45,1.98,2.58,2.5,4.83,2.35,2.1,1.43,0.55,0.0,0.0,0.0,0.0,0.0,44.4,237.28,24.52
Month,Student,All,08/01/21,5.13,1.62,1.38,1.72,1.87,2.67,1.27,1.78,2.05,1.72,1.47,1.4,0.98,0.68,1.85,2.83,5.43,7.43,5.1,0.0,0.0,75.27,554.9,48.38
Month,Student,All,07/01/21,3.52,3.97,1.13,2.17,0.25,0.42,0.87,1.3,0.97,1.65,0.95,0.8,1.05,0.7,0.53,1.1,1.77,3.52,0.27,0.0,0.0,52.68,236.43,26.92
Month,Student,All,06/01/21,1.57,1.6,0.8,0.63,0.5,0.3,0.6,0.65,1.65,1.42,0.97,1.52,1.0,0.77,2.08,2.48,5.35,12.55,21.67,0.0,0.0,67.55,904.48,58.1
Month,Student,All,05/01/21,8.02,0.78,0.4,0.18,0.07,0.28,0.13,0.18,0.22,0.25,1.47,0.23,0.35,0.42,0.53,1.43,1.57,6.27,12.65,1.97,0.0,64.8,499.77,37.4
Month,Student,All,04/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
Month,Teacher,Active,09/01/21,5.28,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,5.45,5.37
