Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,09/01/21,9.85,0.1,0.48,0.8,1.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.38,24.0,13.03
Month,Student,Active,08/01/21,29.32,1.87,0.83,0.38,0.47,0.1,0.03,0.13,0.42,0.62,2.27,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.55,108.57,39.13
Month,Student,Active,07/01/21,26.85,5.28,4.18,3.1,2.9,0.27,0.65,0.5,1.13,2.52,2.47,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.7,154.52,50.27
Month,Student,Active,06/01/21,28.43,7.17,0.2,0.1,0.07,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.1,44.9,36.1
Month,Student,Active,05/01/21,36.97,12.45,4.88,1.35,0.25,0.4,0.3,0.22,0.77,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.17,131.8,61.13
Month,Student,Active,04/01/21,62.05,26.1,7.23,2.6,2.5,1.65,0.95,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.52,177.67,103.37
Month,Student,Active,03/01/21,27.15,6.32,3.22,2.83,2.32,1.7,1.4,1.02,1.35,2.12,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.93,160.02,51.8
Month,Student,Active,02/01/21,32.4,11.82,8.85,6.32,8.05,1.5,1.57,1.65,1.07,1.72,5.13,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.83,284.7,81.75
Month,Student,Active,01/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,12/01/20,25.87,4.52,1.87,1.2,0.25,1.92,2.32,2.17,3.53,2.5,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.93,161.6,47.33
Month,Student,Active,11/01/20,31.53,16.47,7.33,4.82,3.95,2.88,3.18,3.4,7.48,6.47,2.23,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.97,368.65,91.4
Month,Student,Active,10/01/20,49.9,6.2,3.6,1.73,1.58,2.48,1.32,2.4,2.22,2.28,2.13,5.47,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.02,298.22,84.02
Month,Student,Active,09/01/20,25.67,8.62,5.25,3.28,1.82,3.0,3.3,2.58,2.77,5.33,8.63,3.78,4.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.1,421.25,78.65
Month,Student,Active,08/01/20,27.13,8.15,2.67,3.77,2.87,2.28,2.67,2.28,3.78,2.42,2.98,3.12,2.92,2.27,0.02,0.0,0.0,0.0,0.0,0.0,0.0,358.72,329.8,69.32
Month,Student,Active,07/01/20,16.12,1.93,2.47,1.9,0.95,0.68,0.28,0.23,0.08,0.23,0.1,0.17,0.4,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.28,73.53,26.58
Month,Student,Active,06/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,03/01/20,20.3,10.27,4.35,2.02,1.18,1.13,1.03,0.57,0.48,0.72,0.77,0.78,0.13,0.73,0.3,0.55,0.0,0.0,0.0,0.0,0.0,107.28,141.08,45.32
Month,Student,Active,02/01/20,53.63,17.82,7.7,4.72,2.57,2.43,2.05,2.55,2.38,3.48,2.32,3.2,2.68,3.07,1.33,0.17,0.0,0.0,0.0,0.0,0.0,361.32,414.07,112.1
Month,Student,Active,01/01/20,24.58,13.5,7.57,5.18,4.53,2.78,2.3,2.22,2.1,2.13,1.9,2.18,1.33,1.57,2.03,2.32,0.67,0.25,0.0,0.0,0.0,262.8,378.22,79.15
Month,Student,Active,12/01/19,7.85,1.4,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.95,16.15,11.08
Month,Student,Active,11/01/19,54.03,11.88,7.45,7.88,3.37,4.92,7.02,11.75,7.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.6,387.38,115.65
