Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,09/01/21,2.25,1.2,0.27,0.08,0.33,0.17,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.45,11.72,4.77
Month,Student,Active,08/01/21,2.28,0.73,0.5,2.28,0.28,0.88,0.67,0.15,0.37,0.57,0.47,0.55,0.52,0.47,0.8,0.97,0.63,0.2,0.27,0.0,0.0,116.1,107.82,13.58
Month,Student,Active,07/01/21,13.3,5.55,3.5,2.18,1.22,1.03,1.03,0.17,0.28,0.1,0.25,0.67,0.12,0.07,0.03,0.07,0.08,0.17,0.02,0.03,1.05,118.48,112.88,30.92
Month,Student,Active,06/01/21,5.27,0.77,1.92,0.53,0.13,0.07,0.07,0.07,0.18,0.37,0.22,0.28,0.62,0.63,0.48,1.98,1.5,0.38,0.07,0.02,0.8,73.63,135.73,16.35
Month,Student,Active,05/01/21,6.23,1.82,2.75,0.58,0.92,0.9,0.18,0.33,0.28,0.42,0.23,0.15,0.23,0.75,1.15,5.62,0.68,2.28,4.42,0.0,0.0,128.47,302.75,29.93
Month,Student,Active,04/01/21,9.9,4.93,1.17,1.62,1.7,0.05,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.03,0.02,0.08,0.0,0.02,0.55,0.0,0.0,126.52,51.83,20.12
Month,Student,Active,03/01/21,3.47,4.18,1.65,2.12,0.68,1.35,0.67,0.23,0.5,1.58,0.25,0.52,0.52,1.18,2.28,2.98,0.73,1.08,0.02,0.0,0.0,115.37,210.13,26.0
Month,Student,Active,02/01/21,7.43,1.82,1.42,1.7,0.95,0.83,0.88,1.05,1.07,1.42,1.1,1.0,0.65,0.93,2.38,2.17,0.93,0.92,1.12,0.82,0.22,144.08,260.72,30.8
Month,Student,Active,01/01/21,2.0,2.1,1.63,0.82,0.95,0.88,1.72,2.82,1.5,1.12,0.42,0.38,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,96.93,16.65
Month,Student,Active,12/01/20,1.68,0.08,0.03,0.22,0.13,0.17,0.05,0.0,0.05,0.03,0.1,0.4,0.27,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.18,17.32,3.38
Month,Student,Active,11/01/20,29.58,12.67,5.0,2.88,1.83,1.53,2.28,2.83,3.98,2.53,1.97,2.92,2.63,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.3,298.92,73.25
Month,Student,Active,10/01/20,39.7,15.88,8.88,2.0,1.73,1.23,0.75,0.67,1.25,1.47,2.85,4.28,5.42,5.65,6.83,6.77,0.0,0.0,0.0,0.0,0.0,172.25,601.72,105.37
Month,Student,Active,09/01/20,30.6,15.37,3.0,4.47,1.95,1.23,2.25,1.37,1.18,3.23,3.0,4.9,7.05,3.28,2.1,1.42,0.0,0.0,0.0,0.0,0.0,153.2,458.6,86.4
Month,Student,Active,08/01/20,32.08,27.88,9.87,6.45,2.42,1.5,1.48,2.58,2.68,2.12,2.1,2.12,1.58,0.87,0.18,0.0,0.0,0.0,0.0,0.0,0.0,193.13,324.67,95.92
Month,Student,Active,07/01/20,4.18,1.42,2.32,1.53,1.85,0.72,0.87,0.8,0.77,2.3,0.72,1.65,2.02,2.77,0.55,0.0,0.0,0.0,0.0,0.0,0.0,83.22,176.9,24.45
Month,Student,Active,06/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,03/01/20,7.45,2.42,0.82,0.55,0.62,0.6,0.5,0.73,1.3,1.47,2.73,2.68,3.12,3.58,3.28,2.12,0.2,0.0,0.0,0.0,0.0,49.62,298.82,34.17
Month,Student,Active,02/01/20,5.72,3.22,0.43,0.68,0.68,1.05,1.4,2.1,3.75,3.72,5.03,6.03,8.53,9.57,8.95,6.7,0.18,0.0,0.0,0.0,0.0,104.98,740.62,67.75
Month,Student,Active,01/01/20,3.33,1.2,1.1,0.77,0.82,1.28,1.23,1.48,2.58,2.9,3.6,4.1,7.27,8.88,5.82,2.38,0.0,0.0,0.0,0.0,0.0,104.07,529.65,48.75
Month,Student,Active,12/01/19,0.57,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.38,0.73,0.65
Month,Student,Active,11/01/19,8.32,1.27,1.32,1.83,0.65,0.42,0.38,0.32,0.45,0.38,0.3,0.2,0.33,0.18,0.17,0.2,0.0,0.0,0.0,0.0,0.0,29.6,59.28,16.72
Month,Student,Active,10/01/19,5.73,9.6,9.6,2.43,1.48,2.07,2.0,2.17,2.0,1.45,1.4,1.15,1.48,3.87,3.18,3.4,1.3,0.0,0.0,0.0,0.0,136.3,373.98,54.32
Month,Student,Active,09/01/19,4.02,1.98,2.5,3.52,1.75,0.92,1.13,0.62,1.38,0.85,0.85,0.72,1.77,1.82,3.68,4.62,0.0,0.0,0.0,0.0,0.0,97.1,273.08,32.12
Month,Student,Active,08/01/19,5.07,4.95,4.47,2.78,2.48,2.97,4.03,2.97,1.57,1.87,2.0,2.48,2.57,5.07,4.75,7.93,1.53,0.0,0.0,0.0,0.0,133.27,534.8,59.48
Month,Student,Active,07/01/19,6.13,2.73,0.4,0.58,0.83,1.12,0.57,1.48,1.15,0.47,1.65,0.68,0.95,1.93,1.37,1.02,0.0,0.0,0.0,0.0,0.0,69.62,159.38,23.07
Month,Student,Active,06/01/19,0.4,1.95,0.6,0.33,1.07,1.13,0.1,0.18,0.25,0.67,0.58,0.25,0.52,1.43,0.55,0.0,0.0,0.0,0.0,0.0,0.0,38.97,75.1,10.02
Month,Student,Active,05/01/19,0.93,2.12,2.58,0.85,0.8,0.97,0.68,0.78,0.52,0.38,0.88,0.77,0.77,0.5,1.32,1.12,0.0,0.0,0.0,0.0,0.0,84.33,119.15,15.97
Month,Student,Active,04/01/19,1.03,0.97,2.22,1.37,1.05,0.52,0.5,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.18,34.27,8.57
Month,Student,Active,03/01/19,4.38,2.97,4.32,2.68,3.78,1.75,1.08,1.5,0.82,0.88,1.58,2.25,0.83,0.53,0.88,3.17,2.2,0.0,0.0,0.0,0.0,116.42,263.22,35.62
Month,Student,Active,02/01/19,6.18,4.38,2.03,4.27,2.9,2.18,1.83,0.1,0.28,0.97,0.4,0.72,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.32,106.73,26.42
Month,Student,Active,01/01/19,4.98,2.55,3.23,0.23,0.47,0.05,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.58,26.5,11.97
Month,Student,Active,12/01/18,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.23,0.25,0.23
Month,Student,Active,11/01/18,7.08,6.48,8.3,1.3,1.33,1.52,0.47,1.28,2.4,3.82,1.73,1.45,1.7,1.65,0.8,0.0,0.0,0.0,0.0,0.0,0.0,137.77,232.88,41.32
Month,Student,Active,10/01/18,7.08,3.73,1.87,1.95,2.7,3.15,3.88,3.38,2.68,3.45,3.08,2.58,1.58,3.12,3.43,4.25,0.58,0.0,0.0,0.0,0.0,156.5,431.8,52.52
Month,Student,Active,09/01/18,3.8,0.82,0.38,0.17,0.57,0.08,0.27,0.03,0.07,0.02,0.02,0.05,0.08,0.07,0.15,0.48,0.45,0.0,0.0,0.0,0.0,51.78,33.92,7.5
Month,Student,All,09/01/21,2.28,1.2,0.27,0.08,0.32,0.17,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.45,11.78,4.8
Month,Student,All,08/01/21,2.28,0.73,0.5,2.02,0.55,0.78,0.77,0.08,0.4,0.58,0.48,0.53,0.52,0.45,0.83,0.97,0.63,0.18,0.28,0.0,0.0,116.1,108.38,13.58
Month,Student,All,07/01/21,18.62,6.5,3.63,2.5,1.32,1.03,1.02,0.15,0.28,0.1,0.23,0.68,0.12,0.05,0.03,0.07,0.08,0.17,0.0,0.02,1.32,118.48,128.13,37.92
