Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,09/01/21,1.18,1.0,0.33,1.37,1.07,0.38,0.0,0.03,0.0,0.0,0.03,0.07,0.07,0.33,0.42,0.87,0.45,0.37,0.0,0.0,0.0,48.73,58.62,7.97
Month,Student,Active,08/01/21,12.33,4.62,2.95,3.07,1.75,1.0,1.55,1.15,1.52,2.13,2.18,2.23,3.65,2.05,3.35,4.05,2.85,3.85,4.85,6.5,4.87,141.35,798.5,72.5
Month,Student,Active,07/01/21,5.7,12.82,2.73,2.45,1.62,1.73,2.62,2.72,1.7,2.53,1.67,1.78,2.28,2.35,1.82,3.0,2.95,3.1,1.32,2.0,1.77,155.5,534.67,60.65
Month,Student,Active,06/01/21,1.18,3.37,2.6,0.8,0.65,0.35,0.67,0.37,0.08,0.02,0.0,0.07,0.0,0.02,0.03,0.05,0.15,0.5,0.42,0.53,0.33,196.73,72.25,12.18
Month,Student,Active,05/01/21,4.03,3.82,3.93,2.17,1.87,2.22,2.22,0.73,5.72,1.88,1.53,5.82,1.87,0.27,0.45,0.0,0.0,0.0,0.0,0.0,0.0,158.28,267.85,38.52
Month,Student,Active,04/01/21,1.9,0.4,0.28,0.65,0.38,0.52,0.47,0.78,1.33,2.0,1.52,0.35,0.67,0.53,0.05,0.0,0.0,0.0,0.0,0.0,0.0,101.97,90.47,11.83
Month,Student,Active,03/01/21,2.2,1.13,1.62,0.5,0.85,0.83,1.03,1.02,0.68,0.57,0.93,0.77,0.85,1.63,2.02,0.38,0.0,0.0,0.0,0.0,0.0,130.6,137.52,17.02
Month,Student,Active,02/01/21,4.25,0.67,0.98,1.02,0.62,0.43,0.57,0.57,0.92,1.13,1.1,1.63,3.53,0.95,0.95,2.28,2.57,3.78,0.0,0.0,0.0,56.77,299.82,27.95
Month,Student,Active,01/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,12/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,11/01/20,4.97,0.58,1.37,0.3,0.55,0.68,0.35,0.72,0.73,0.62,0.72,1.58,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.23,76.3,13.95
Month,Student,Active,10/01/20,16.53,26.32,20.77,12.03,11.37,9.28,11.07,11.97,14.58,11.22,7.58,1.27,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.63,808.02,154.03
Month,Student,Active,09/01/20,5.08,3.92,3.03,1.72,1.75,1.33,3.27,3.43,2.8,1.87,2.1,1.85,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.6,188.38,32.4
Month,Student,Active,08/01/20,2.0,2.02,2.0,1.0,1.37,2.07,2.1,2.73,1.58,1.07,0.62,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.23,107.53,18.88
Month,Student,Active,07/01/20,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83,0.8,0.8
Month,Student,Active,06/01/20,0.63,0.1,0.03,0.0,0.08,0.05,0.18,0.28,0.28,0.1,0.15,0.13,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,13.55,2.15
Month,Student,Active,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,03/01/20,15.82,6.25,5.68,4.82,4.53,4.92,4.05,4.3,3.7,3.25,3.37,2.72,1.45,0.73,0.17,0.0,0.0,0.0,0.0,0.0,0.0,143.67,346.6,65.75
Month,Student,Active,02/01/20,38.1,23.52,14.13,12.05,10.33,9.88,8.02,9.0,8.72,10.08,9.88,10.77,8.2,7.15,4.02,1.05,0.0,0.0,0.0,0.0,0.0,291.07,1115.77,184.9
Month,Student,Active,01/01/20,20.63,8.08,6.17,3.68,2.18,2.52,3.3,4.18,3.05,2.17,0.88,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.7,212.65,56.95
Month,Student,Active,12/01/19,0.52,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.12,0.82
Month,Student,Active,11/01/19,1.1,1.0,0.88,1.13,3.05,6.45,4.97,3.83,2.75,1.6,0.37,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.38,176.85,27.33
Month,Student,Active,10/01/19,7.65,4.93,2.43,3.27,2.17,2.45,3.15,3.43,3.65,6.17,9.78,14.42,28.37,11.25,8.33,1.6,0.0,0.0,0.0,0.0,0.0,130.5,1164.93,113.05
Month,Student,Active,09/01/19,19.97,6.87,5.27,5.13,4.42,3.92,4.52,4.32,4.62,8.37,12.47,26.33,31.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.73,1174.82,138.08
Month,Student,Active,08/01/19,25.65,6.57,3.85,3.73,3.47,3.02,3.07,2.85,3.88,5.6,8.23,14.35,20.88,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.07,783.47,106.1
Month,Student,Active,07/01/19,11.72,10.13,6.53,5.1,2.3,3.85,3.3,2.52,4.38,5.1,10.15,14.58,13.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.8,702.63,93.18
