Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,09/01/21,2.3,1.3,0.53,1.98,1.02,1.5,2.58,2.93,2.27,0.53,0.25,0.22,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.88,101.58,17.45
Month,Student,Active,08/01/21,8.7,3.65,4.45,4.08,9.07,4.52,5.13,4.2,1.28,1.47,1.32,1.08,1.88,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.15,280.77,51.9
Month,Student,Active,07/01/21,10.83,11.08,9.72,4.58,3.6,6.72,7.28,14.45,7.68,7.52,3.08,1.57,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.45,517.13,89.25
Month,Student,Active,06/01/21,5.93,2.85,4.53,10.5,4.55,2.42,0.4,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.18,108.35,31.32
Month,Student,Active,05/01/21,4.08,1.95,4.53,2.65,2.55,4.03,4.53,5.0,5.73,5.68,4.42,4.77,1.82,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.5,400.87,53.33
Month,Student,Active,04/01/21,11.15,2.9,0.58,0.4,0.8,3.2,5.92,9.5,8.27,1.52,4.38,1.05,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.28,331.67,51.23
Month,Student,Active,03/01/21,8.82,8.6,6.17,3.32,4.55,3.82,4.98,6.35,1.97,2.6,0.42,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.15,237.6,51.6
Month,Student,Active,02/01/21,10.37,5.72,5.3,4.55,6.07,5.53,7.92,8.9,7.03,6.22,3.2,1.38,1.37,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.42,446.22,73.92
Month,Student,Active,01/01/21,13.32,6.03,5.55,6.1,3.67,5.55,6.07,1.6,0.95,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.9,187.72,49.42
Month,Student,Active,12/01/20,5.07,4.17,1.57,0.87,1.57,1.87,0.75,0.37,0.42,0.63,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.85,66.38,17.95
Month,Student,Active,11/01/20,11.83,10.65,6.45,3.98,7.25,8.42,5.87,5.4,8.43,8.83,7.15,4.47,0.83,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.85,551.88,89.93
Month,Student,Active,10/01/20,11.93,7.35,7.13,4.07,2.55,1.87,3.0,2.65,3.37,5.05,5.57,3.82,3.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.93,369.48,62.25
Month,Student,Active,09/01/20,9.13,2.9,2.03,2.7,3.98,3.78,5.08,7.72,5.58,4.85,5.08,4.12,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.82,386.67,57.8
Month,Student,Active,08/01/20,12.42,4.53,4.58,2.08,2.5,4.7,3.98,3.98,5.98,5.18,3.93,4.83,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.83,382.38,61.13
Month,Student,Active,07/01/20,5.13,1.48,1.65,0.22,0.62,0.97,1.77,2.68,1.55,2.65,3.62,4.05,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.83,209.3,28.22
Month,Student,Active,06/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,03/01/20,9.78,5.0,1.85,2.05,2.02,1.63,3.4,2.98,2.97,5.13,4.95,3.53,0.8,0.57,0.53,0.0,0.0,0.0,0.0,0.0,0.0,108.5,302.3,47.2
Month,Student,Active,02/01/20,18.85,6.27,4.63,3.77,2.05,2.32,4.08,3.35,3.72,6.37,7.07,4.28,4.43,3.43,0.48,0.08,0.0,0.0,0.0,0.0,0.0,177.77,480.42,75.18
Month,Student,Active,01/01/20,7.08,2.57,1.77,1.52,1.5,1.57,2.45,2.25,5.0,1.97,2.0,2.97,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.1,211.98,33.72
Month,Student,Active,12/01/19,2.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.78,5.87,3.93
