Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,09/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.15,0.0,0.0
Month,Student,Active,08/01/21,2.25,0.73,2.27,1.27,1.83,1.08,1.62,2.05,2.97,4.1,5.6,6.32,8.53,7.83,5.72,4.78,2.7,0.45,0.0,0.0,0.0,82.9,700.95,62.1
Month,Student,Active,07/01/21,0.18,2.2,1.38,1.02,2.32,0.7,2.08,3.03,3.22,3.87,1.18,1.2,1.37,0.82,0.2,0.35,0.27,0.0,0.0,0.0,0.0,46.75,204.8,25.38
Month,Student,Active,06/01/21,1.67,0.13,0.08,0.8,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,6.63,2.93
Month,Student,Active,05/01/21,3.48,0.6,1.57,1.1,1.23,1.98,1.92,2.33,1.67,2.87,3.27,3.53,3.2,3.35,2.72,0.62,0.15,0.0,0.0,0.0,0.0,49.2,327.6,35.58
Month,Student,Active,04/01/21,1.63,0.58,0.33,0.32,0.07,0.52,0.97,0.63,0.87,0.97,0.75,1.0,1.05,1.23,0.13,0.0,0.0,0.0,0.0,0.0,0.0,23.52,90.97,11.05
Month,Student,Active,03/01/21,2.08,1.08,0.83,1.43,1.68,1.08,1.88,2.82,3.08,4.0,5.15,3.77,1.82,1.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,63.63,286.63,32.82
Month,Student,Active,02/01/21,1.72,1.78,1.38,3.88,2.07,2.77,2.67,2.97,1.95,1.7,1.83,1.38,1.92,0.73,0.08,0.0,0.0,0.0,0.0,0.0,0.0,61.98,202.05,28.83
Month,Student,Active,01/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,0.0
Month,Student,Active,12/01/20,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.28,0.28
