Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,09/01/21,0.12,0.03,0.05,0.02,0.02,0.0,0.02,0.28,0.07,0.15,0.07,0.27,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,18.43,1.82
Month,Student,Active,08/01/21,0.45,1.7,0.15,0.08,0.05,0.17,0.72,0.27,0.9,0.85,0.17,0.5,0.92,1.6,3.12,2.28,0.0,0.0,0.0,0.0,0.0,18.28,155.07,13.92
Month,Student,Active,07/01/21,0.38,1.23,0.37,0.85,0.35,0.5,0.42,0.2,0.32,0.48,0.53,0.85,0.8,2.08,6.57,11.4,0.0,0.0,0.0,0.0,0.0,33.07,360.83,27.33
Month,Student,Active,06/01/21,0.18,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,3.88,2.03
Month,Student,Active,05/01/21,1.55,2.63,3.5,1.78,2.42,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.53,41.13,12.65
Month,Student,Active,04/01/21,1.78,0.43,1.9,1.18,1.53,2.25,2.03,0.55,0.52,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.72,58.53,12.28
Month,Student,Active,03/01/21,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.05,0.05
Month,Student,Active,02/01/21,2.87,2.03,2.93,1.12,3.52,1.95,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.98,54.85,15.18
Month,Student,Active,01/01/21,2.67,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.72,5.67,4.17
Month,Student,Active,12/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,11/01/20,20.02,4.08,2.47,2.05,2.03,0.5,0.33,0.27,1.2,2.25,1.3,1.77,0.93,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.78,147.72,39.58
Month,Student,Active,10/01/20,7.58,2.27,2.48,1.55,1.22,2.08,3.03,3.13,4.07,6.58,4.57,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.08,257.72,39.77
Month,Student,Active,09/01/20,1.65,3.38,0.77,0.33,0.9,0.93,1.03,0.25,0.15,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,43.9,10.52
Month,Student,Active,08/01/20,10.43,5.83,4.08,0.77,1.6,0.37,0.98,2.93,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5,83.37,27.6
