Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,10/01/21,0.55,0.0,0.08,0.32,0.9,0.1,0.37,0.17,0.12,0.13,0.2,0.5,0.85,1.4,1.95,0.0,0.0,0.0,0.0,0.0,0.0,12.68,81.55,7.63
Month,Student,Active,09/01/21,4.68,6.52,3.17,5.72,2.52,2.52,1.68,1.08,0.5,0.43,0.55,0.7,0.53,1.95,1.27,2.77,1.03,0.0,0.0,0.0,0.0,48.9,236.57,37.62
Month,Student,Active,08/01/21,1.4,0.7,0.43,4.4,0.88,0.75,0.5,1.33,1.0,1.38,0.63,0.98,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.27,92.45,14.87
Month,Student,Active,07/01/21,2.63,2.52,4.22,2.25,1.93,1.97,0.65,0.43,0.87,0.63,0.95,0.62,0.82,0.73,0.85,0.0,0.0,0.0,0.0,0.0,0.0,29.18,124.42,22.07
Month,Student,Active,06/01/21,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.03,0.03
Month,Student,Active,05/01/21,1.93,1.37,0.38,0.07,0.07,0.03,0.03,0.13,0.15,0.28,0.32,0.57,0.75,1.77,3.63,3.23,1.1,0.33,0.0,0.0,0.0,21.97,187.8,16.15
Month,Student,Active,04/01/21,0.33,0.15,0.13,0.7,0.25,0.53,1.42,3.22,1.75,0.85,0.73,0.58,1.15,0.38,0.25,0.23,0.4,1.02,0.0,0.0,0.0,23.08,136.15,14.08
Month,Student,Active,03/01/21,0.12,0.67,0.53,0.32,0.9,0.88,0.35,0.85,1.88,1.68,0.85,0.57,0.67,0.83,0.42,0.67,0.02,0.0,0.0,0.0,0.0,15.1,110.83,12.2
Month,Student,Active,02/01/21,1.72,1.68,0.83,0.42,0.72,1.57,2.03,1.45,0.47,1.05,2.75,1.87,0.78,1.87,0.27,0.2,0.43,0.48,0.0,0.0,0.0,31.07,175.0,20.58
Month,Student,Active,01/01/21,0.07,0.28,0.18,0.35,0.57,0.63,1.32,0.6,0.3,0.45,0.85,1.68,1.23,0.67,0.4,0.0,0.0,0.0,0.0,0.0,0.0,10.63,91.35,9.58
Month,Student,Active,12/01/20,0.27,0.13,0.05,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,3.95,1.27
Month,Student,Active,11/01/20,3.15,4.27,3.6,1.67,0.73,0.77,0.48,0.5,0.5,0.77,2.0,4.62,1.98,2.53,1.43,0.55,0.0,0.0,0.0,0.0,0.0,44.12,225.92,29.55
Month,Student,Active,10/01/20,10.55,5.35,3.63,1.78,1.4,1.38,0.88,1.58,2.73,2.63,2.5,4.35,3.93,2.45,3.63,2.0,0.5,0.0,0.0,0.0,0.0,81.22,384.5,51.3
Month,Student,Active,09/01/20,7.05,6.07,1.45,0.6,0.52,1.28,1.28,1.55,1.87,0.23,0.62,1.4,3.5,0.62,0.7,0.83,2.03,0.0,0.0,0.0,0.0,49.37,212.85,31.6
Month,Student,Active,08/01/20,10.97,6.8,3.45,2.4,1.67,3.02,1.73,0.92,0.77,0.58,0.88,1.15,1.48,1.1,0.18,0.13,0.0,0.0,0.0,0.0,0.0,62.9,166.23,37.23
Month,Student,Active,07/01/20,0.1,0.1,0.05,0.1,0.2,0.18,0.1,0.18,0.12,0.17,0.43,0.4,0.57,0.78,0.22,0.0,0.0,0.0,0.0,0.0,0.0,24.82,38.98,3.7
Month,Student,Active,06/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,03/01/20,10.4,2.37,0.33,0.35,0.07,0.32,0.45,0.85,0.73,1.38,1.87,1.4,0.8,0.47,0.5,2.95,1.53,0.0,0.0,0.0,0.0,38.72,185.18,26.77
Month,Student,Active,02/01/20,3.38,1.38,0.98,1.52,0.88,0.65,0.67,1.6,1.48,1.38,3.25,2.02,2.17,3.87,4.92,1.65,0.0,0.0,0.0,0.0,0.0,79.3,310.53,31.8
Month,Student,Active,01/01/20,7.18,2.02,1.47,1.68,1.42,2.83,2.23,2.47,4.68,2.95,3.63,4.02,4.9,5.73,5.9,3.18,0.18,0.0,0.0,0.0,0.0,92.02,528.13,56.48
Month,Student,Active,12/01/19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,11/01/19,2.13,1.73,0.68,0.93,1.32,1.15,0.43,0.65,0.45,1.1,1.53,1.53,3.48,4.77,5.6,2.37,1.12,0.0,0.0,0.0,0.0,62.27,336.28,30.98
Month,Student,Active,10/01/19,4.18,2.8,1.55,1.25,2.32,2.92,1.57,1.75,1.92,2.68,3.05,4.22,5.47,5.38,6.1,4.82,7.82,0.0,0.0,0.0,0.0,112.5,649.6,59.78
Month,Student,Active,09/01/19,1.38,0.32,0.2,0.55,0.33,0.78,0.9,0.78,0.47,0.38,0.45,0.33,0.25,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.55,46.08,7.28
Month,Student,All,10/01/21,0.05,0.0,0.03,0.83,0.9,0.05,1.02,0.05,0.23,0.23,0.18,0.42,0.67,0.78,2.2,0.7,0.0,0.0,0.0,0.0,0.0,12.68,91.08,8.35
Month,Student,All,09/01/21,3.25,4.52,3.53,6.12,1.42,1.55,2.97,0.5,1.9,0.55,0.52,0.83,0.28,2.15,1.57,4.45,1.85,1.57,0.0,0.0,0.0,48.9,314.92,39.52
Month,Student,All,08/01/21,0.83,1.58,0.15,4.13,0.28,0.1,1.1,0.13,0.85,3.48,0.52,1.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.27,107.13,15.35
Month,Student,All,07/01/21,0.52,2.77,4.33,4.85,1.38,2.43,1.73,0.3,0.48,0.85,1.0,0.43,1.4,0.93,0.88,0.0,0.0,0.0,0.0,0.0,0.0,29.18,148.07,24.3
Month,Student,All,06/01/21,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.03,0.03
Month,Student,All,05/01/21,0.55,2.85,0.38,0.03,0.03,0.03,0.03,0.08,0.08,0.17,0.13,0.43,0.3,0.58,1.33,2.82,4.08,2.32,0.0,0.0,0.0,21.97,206.13,16.25
Month,Student,All,04/01/21,0.35,0.07,0.07,0.18,0.08,0.32,1.12,3.88,1.82,0.75,0.3,1.0,1.77,0.5,0.2,0.27,0.37,1.1,0.0,0.0,0.0,23.08,145.03,14.13
Month,Student,All,03/01/21,0.02,1.17,0.25,0.2,0.37,0.4,1.85,0.08,2.18,2.08,1.18,0.98,0.75,0.95,0.25,0.58,0.3,0.0,0.0,0.0,0.0,15.1,128.28,13.6
Month,Student,All,02/01/21,0.43,1.38,0.9,0.05,1.1,2.65,4.88,1.1,0.77,1.3,1.65,1.1,1.45,3.12,0.63,0.05,0.47,0.6,0.0,0.0,0.0,31.07,213.25,23.63
Month,Student,All,01/01/21,0.02,0.22,0.07,0.1,0.18,0.08,0.93,1.03,0.27,0.43,0.97,1.23,1.4,2.23,0.43,0.0,0.0,0.0,0.0,0.0,0.0,10.63,105.4,9.6
Month,Student,All,12/01/20,0.28,0.13,0.05,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,3.97,1.28
Month,Student,All,11/01/20,2.2,0.8,0.97,0.48,1.2,0.08,2.53,0.4,0.97,0.62,5.87,4.77,2.53,4.77,1.32,1.05,0.0,0.0,0.0,0.0,0.0,44.12,308.88,30.55
Month,Student,All,10/01/20,6.6,2.83,3.62,3.4,0.38,1.08,0.2,1.2,3.18,2.23,9.08,3.95,4.33,2.82,8.23,2.88,1.55,0.0,0.0,0.0,0.0,81.22,546.18,57.58
Month,Student,All,09/01/20,9.67,5.47,1.52,2.27,0.48,0.93,1.0,1.08,2.42,0.22,0.48,1.27,3.63,0.35,0.82,1.38,2.68,0.0,0.0,0.0,0.0,49.37,234.47,35.67
Month,Student,All,08/01/20,11.17,1.48,5.05,0.82,2.07,2.02,3.18,3.35,1.32,0.85,2.7,7.42,1.77,2.4,1.55,0.08,0.17,0.0,0.0,0.0,0.0,62.9,327.1,47.38
Month,Student,All,07/01/20,0.0,0.0,0.0,0.0,0.0,0.02,0.05,1.25,0.17,0.15,0.23,0.3,1.0,0.28,1.05,0.0,0.0,0.0,0.0,0.0,0.0,24.82,52.33,4.5
Month,Student,All,06/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,All,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,All,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,All,03/01/20,8.35,2.95,1.17,2.02,0.07,0.03,1.35,0.2,0.45,0.85,2.1,1.75,1.75,1.0,0.8,2.78,2.25,0.0,0.0,0.0,0.0,38.72,225.58,29.87
Month,Student,All,02/01/20,6.57,5.5,1.75,0.45,0.67,1.0,0.3,4.73,1.83,1.07,1.58,3.32,2.48,3.18,5.68,3.8,0.87,0.0,0.0,0.0,0.0,79.3,395.93,44.78
Month,Student,All,01/01/20,4.33,2.17,4.78,1.55,1.78,0.97,1.58,4.2,4.15,2.88,3.62,2.78,3.78,5.33,9.32,6.23,2.52,0.0,0.0,0.0,0.0,92.02,634.1,61.98
Month,Student,All,12/01/19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,All,11/01/19,3.8,2.1,0.32,0.65,1.35,1.18,0.68,0.68,0.32,0.68,1.0,1.48,1.52,3.13,4.77,7.08,2.87,0.0,0.0,0.0,0.0,62.27,371.28,33.62
Month,Student,All,10/01/19,3.75,4.63,1.12,1.02,1.68,1.85,2.92,3.1,1.43,1.93,2.17,3.15,4.22,5.72,7.88,7.63,10.4,0.0,0.0,0.0,0.0,112.5,731.07,64.6
Month,Student,All,09/01/19,2.28,2.3,0.17,0.55,0.33,0.65,0.95,0.67,0.3,0.48,0.58,0.35,0.38,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,18.55,53.08,10.2
