Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,10/01/21,0.47,1.82,0.9,0.23,0.93,0.62,1.37,0.15,0.0,0.05,0.1,0.15,0.17,0.15,0.52,1.0,0.4,0.02,0.0,0.0,0.0,13.5,65.38,9.03
Month,Student,Active,09/01/21,4.78,3.47,4.98,6.12,3.0,0.7,0.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.63,71.53,23.22
Month,Student,Active,08/01/21,3.35,2.58,1.87,2.58,1.7,1.22,2.03,2.1,3.08,2.48,2.08,1.7,2.07,2.3,1.55,0.75,0.08,0.45,0.77,0.0,0.0,52.85,285.58,34.75
Month,Student,Active,07/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,06/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,05/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.43,0.0,0.0
Month,Student,Active,04/01/21,0.05,0.28,0.07,0.12,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.18,1.37,0.53
Month,Student,Active,03/01/21,18.17,2.93,5.97,4.22,2.25,3.23,1.4,0.87,0.55,0.27,0.4,0.18,0.2,0.28,0.08,0.1,0.0,0.0,0.0,0.0,0.0,76.9,129.82,41.1
Month,Student,Active,02/01/21,5.0,1.63,0.28,0.78,2.28,1.12,0.62,0.5,0.5,0.25,0.18,0.43,0.65,0.32,1.38,0.37,0.0,0.0,0.0,0.0,0.0,50.15,92.4,16.3
Month,Student,Active,01/01/21,1.42,0.42,0.62,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,29.23,5.68,2.58
Month,Student,Active,12/01/20,0.4,0.42,0.42,0.28,0.17,0.18,0.25,0.35,0.33,0.17,0.3,0.62,0.38,0.28,0.2,0.02,0.0,0.0,0.0,0.0,0.0,21.25,37.68,4.77
Month,Student,Active,11/01/20,6.45,2.8,3.1,1.98,0.65,0.6,0.65,0.85,0.6,0.47,0.53,0.88,1.55,3.62,3.52,0.78,0.0,0.0,0.0,0.0,0.0,84.3,210.08,29.03
Month,Student,Active,10/01/20,1.8,1.65,1.43,0.82,1.08,0.98,0.7,0.7,0.77,1.38,1.62,0.9,2.02,2.35,2.7,2.27,1.2,0.0,0.0,0.0,0.0,65.1,240.08,24.37
Month,Student,Active,09/01/20,0.18,0.53,3.02,0.03,0.03,0.03,0.03,0.08,0.03,0.1,0.07,0.13,0.27,1.28,0.45,1.43,0.08,0.0,0.0,0.0,0.0,19.92,67.87,7.8
Month,Student,Active,08/01/20,1.27,0.25,0.25,0.22,0.6,1.22,0.03,0.05,0.05,0.47,0.5,0.8,1.2,0.73,0.7,2.05,1.45,0.0,0.0,0.0,0.0,78.55,128.35,11.83
Month,Student,Active,07/01/20,3.1,0.1,0.13,0.08,0.07,0.2,0.08,0.05,0.02,0.12,0.08,0.1,0.12,0.2,1.52,1.38,1.38,0.0,0.0,0.0,0.0,75.2,82.7,8.73
